name,description,type
31001_3080,Friedhofsgebäude,non-residential
31001_3081,Trauerhalle,non-residential
31001_3082,Krematorium,non-residential
31001_3090,Empfangsgebäude,non-residential
31001_3091,Bahnhofsgebäude,non-residential
31001_3092,Flughafengebäude,non-residential
31001_3094,Gebäude zum U-Bahnhof,non-residential
31001_3095,Gebäude zum S-Bahnhof,non-residential
31001_3097,Gebäude zum Busbahnhof,non-residential
31001_3098,Empfangsgebäude Schifffahrt,non-residential
31001_3100,Gebäude für öffentliche Zwecke mit Wohnen,mixed
31001_3200,Gebäude für Erholungszwecke,non-residential
31001_3210,Gebäude für Sportzwecke,non-residential
31001_3211,"Sport-, Turnhalle",non-residential
31001_3212,Gebäude zum Sportplatz,non-residential
31001_3220,Badegebäude,non-residential
31001_3221,Hallenbad,non-residential
31001_3222,Gebäude im Freibad,non-residential
31001_3230,Gebäude im Stadion,non-residential
31001_3240,Gebäude für Kurbetrieb,non-residential
31001_3241,Badegebäude für medizinische Zwecke,non-residential
31001_3242,Sanatorium,non-residential
31001_3260,Gebäude im Zoo,non-residential
31001_3261,Empfangsgebäude des Zoos,non-residential
31001_3262,"Aquarium, Terrarium, Voliere",non-residential
31001_3263,Tierschauhaus,non-residential
31001_3264,Stall im Zoo,non-residential
31001_3270,Gebäude im botanischen Garten,non-residential
31001_3271,Empfangsgebäude des botanischen Gartens,non-residential
31001_3272,Gewächshaus (Botanik),non-residential
31001_3273,Pflanzenschauhaus,non-residential
31001_3280,Gebäude für andere Erholungseinrichtung,non-residential
31001_3281,Schutzhütte,non-residential
31001_3290,Touristisches Informationszentrum,non-residential
31001_9998,Nach Quellenlage nicht zu spezifizieren,
51001_1001,Wasserturm,non-residential
51001_1002,Kirchturm,non-residential
51001_1003,Aussichtsturm,non-residential
51001_1004,Kontrollturm,non-residential
51001_1005,Kühlturm,non-residential
51001_1006,Leuchtturm,non-residential
51001_1007,Feuerwachturm,non-residential
51001_1008,"Sende-,Funkturm",non-residential
51001_1009,"Stadt-,Torturm",non-residential
51001_1010,Förderturm,non-residential
51001_1011,Bohrturm,non-residential
51001_1012,"Schloss-, Burgturm",non-residential
51001_9998,Nach Quellenlage nicht zu spezifizieren,non-residential
51001_9999,Sonstiges,non-residential
51002_1215,Biogasanlage,non-residential
51002_1220,Windrad,non-residential
51002_1230,Solarzellen,non-residential
51002_1250,Mast,non-residential
51002_1251,Freileitungsmast,non-residential
51002_1260,Funkmast,non-residential
51002_1280,Radioteleskop,non-residential
51002_1290,Schornstein,non-residential
51002_1330,Kran,non-residential
51002_1331,Drehkran,non-residential
51002_1332,Portalkran,non-residential
51002_1333,Laufkran,non-residential
51002_1340,Trockendock,non-residential
51002_1350,Hochofen,non-residential
51002_1400,Umformer,non-residential
51002_9999,Sonstiges,non-residential
51003_1201,Silo,non-residential
51003_1205,Tank,non-residential
51003_1206,Gasometer,non-residential
51003_9999,Sonstiges,non-residential
51006_1430,Zuschauertribüne,non-residential
51006_1431,"Zuschauertribüne, überdacht",non-residential
51006_1432,"Zuschauertribüne, nicht überdacht",non-residential
51006_1440,Stadion,non-residential
51006_1470,Sprungschanze (Anlauf),non-residential
51006_1490,Gradierwerk,non-residential
51006_9999,Sonstiges,non-residential
51007_1100,Historische Wasserleitung,non-residential
51007_1110,Aquaedukt,non-residential
51007_1210,Wachturm,non-residential
51007_1400,Befestigung (Burgruine),non-residential
51007_1410,Burg,non-residential
51007_1500,Historische Mauer,non-residential
51007_1510,Stadtmauer,non-residential
51007_1520,Sonstige historische Mauer,non-residential
51007_9999,Sonstiges,non-residential
51009_1610,Überdachung,non-residential
51009_1611,Carport,non-residential
51009_1700,Mauer,non-residential
51009_1750,Denkmal,non-residential
51009_9999,Sonstiges,non-residential
52003_1010,Schiffshebewerk,non-residential
52003_1020,Kammerschleuse,non-residential
53001_1800,Brücke,non-residential
53001_1806,Drehbrücke,non-residential
53001_1807,Hebebrücke,non-residential
53001_1808,Zugbrücke,non-residential
53001_1830,"Hochbahn, Hochstraße",non-residential
53001_1880,"Schutzgalerie, Einhausung",non-residential
53001_1890,Schleusenkammer,non-residential
53009_2030,Staumauer,non-residential
53009_2050,Wehr,non-residential
53009_2060,Sicherheitstor,non-residential
53009_2070,Siel,non-residential
53009_2080,Sperrwerk,non-residential
53009_2090,Schöpfwerk,non-residential
31001_2465,Tiefgarage,non-residential
